episode,step,job_idx,reward,makespan,current_time,setup_time,job_completed
4,6,16,3.5729642349367214,290.0,290.0,40,False
4,7,16,11.03472459991858,325.0,325.0,15,False
4,8,16,16.463355123811187,359.0,359.0,0,False
4,9,3,7.400976921327587,424.0,424.0,40,False
4,10,10,6.252363875374866,495.0,495.0,40,False
4,11,13,5.682495385381713,526.0,526.0,15,False
4,12,18,10.551489544128305,581.0,581.0,40,False
4,13,16,16.73976948007592,622.0,622.0,15,False
4,14,11,0.9877317569263449,664.0,664.0,20,False
4,15,15,12.858964930274595,699.0,699.0,20,False
4,16,15,16.77580539920437,744.0,744.0,15,False
4,17,15,19.655423676442748,787.0,787.0,20,False
4,18,13,6.601288831732165,824.0,824.0,15,False
4,19,16,17.880902325347037,889.0,889.0,15,False
4,20,16,20.0,958.0,958.0,10,False
4,21,4,-3.7607472703172196,1034.0,1034.0,40,False
4,22,15,20.0,1068.0,1068.0,20,False
4,23,16,20.0,1103.0,1103.0,10,True
4,24,9,9.932814346534101,1175.0,1175.0,40,False
4,25,15,20.0,1225.0,1225.0,20,True
4,26,13,8.214227254083797,1263.0,1263.0,20,False
4,27,8,7.6799371962582885,1343.0,1343.0,40,False
4,28,4,1.3907369220835066,1378.0,1378.0,20,False
4,29,8,13.497267061987918,1414.0,1414.0,20,False
4,30,8,14.907845137057016,1483.0,1483.0,15,False
4,31,7,12.96206833217571,1547.0,1547.0,10,False
4,32,19,1.5388981259873167,1606.0,1606.0,40,False
4,33,1,2.4116891840293038,1662.0,1662.0,40,False
4,34,2,8.474035338172273,1736.0,1736.0,40,False
4,35,7,13.934269128080032,1809.0,1809.0,15,False
4,36,19,2.547064072677193,1854.0,1854.0,20,False
4,37,10,11.31432644496658,1887.0,1887.0,20,False
4,38,4,4.948472910069708,1927.0,1927.0,15,False
4,39,7,18.615778063964193,1991.0,1991.0,15,False
4,40,4,7.84252860043476,2026.0,2026.0,20,False
4,41,3,11.846216377026236,2061.0,2061.0,20,False
4,42,4,8.397006168899251,2111.0,2111.0,20,False
4,43,7,20.0,2161.0,2161.0,20,True
4,44,9,12.917962902553043,2206.0,2206.0,20,False
4,45,19,7.70432025659313,2245.0,2245.0,15,False
4,46,3,14.269081596799497,2300.0,2300.0,15,False
4,47,3,19.066590944710317,2334.0,2334.0,20,False
4,48,5,13.382739241688109,2410.0,2410.0,40,False
4,49,3,20.0,2455.0,2455.0,20,False
4,50,13,9.013010234196685,2504.0,2504.0,20,False
4,51,6,12.053477168492416,2564.0,2564.0,25,False
4,52,11,3.777496983176991,2624.0,2624.0,15,False
4,53,6,13.315267664254154,2667.0,2667.0,20,False
4,54,5,20.0,2695.0,2695.0,15,False
4,55,14,20.0,2743.0,2743.0,25,False
4,56,13,11.48293229463385,2793.0,2793.0,20,False
4,57,17,10.317844983843724,2855.0,2855.0,40,False
4,58,13,10.062189272691066,2894.0,2894.0,15,False
4,59,9,17.648488272484116,2948.0,2948.0,15,False
4,60,11,2.367657872961718,2994.0,2994.0,20,False
4,61,3,16.074256948078556,3038.0,3038.0,20,False
4,62,3,17.928114846713505,3079.0,3079.0,15,True
4,63,14,20.0,3112.0,3112.0,20,False
